ENDERECO_ID	lat	long
RSADR_0001	-30.092332	-51.73178
SPAAI_0006	-22.05726	-46.97986
TOABRU0002	-9.623306	-49.155
TOAAX_0001	-12.933889	-46.9375
MTABO_0005	-14.057583	-52.160722
MTAFL_0005	-9.873528	-56.085083
MTAGX_0004	-15.725961	-51.836511
ACSWD_0030	-10.151694	-67.737806
GOABI_0004	-16.099056	-48.807194
GOABI_0005	-16.099056	-48.807194
RNABC_0001	-4.952528	-37.126139
GOAGZ_0001	-15.245778	-50.506028
PRAPU_0021	-23.552491	-51.423487
SPAIA_0084	-23.057722	-46.661806
SCAPK_0009	-27.059222	-49.388833
ESAFC_0004	-20.203028	-41.095333
ESAFC_0010	-20.187306	-41.189722
ESAUE_0002	-18.636222	-40.946694
GOGNA_0319	-16.666028	-49.184917
SCAGD_0008	-27.702363	-51.122657
MAACD_0009	-4.696056	-47.492528
ACRBO_0082	-9.958944	-67.845778
PIACAH0001	-8.356664	-40.894
RRAER_0001	2.988361	-61.316306
RRAER_0002	2.984639	-61.307222
RJACB_0001	-22.969306	-42.027583
SCADZ_0012	-26.594222	-52.322528
RJRJO_1939	-22.904897	-43.1813
RJRJO_1878	-22.879722	-43.269722
PAABT_0007	-1.722417	-48.881861
RJRJO_2420	-22.911861	-43.170889
PRCAT_0013	-24.937722	-49.828194
SPGRS_0099	-23.472778	-46.5475
ALMCO_0158	-9.671667	-35.757778
ALMCO_0161	-9.663111	-35.7055
ALMCO_0157	-9.617056	-35.691389
ALMCO_0159	-9.646	-35.734083
ALMCO_0160	-9.628194	-35.738
ALMCO_0156	-9.621194	-35.694361
BANAE_0006	-13.033611	-39.009444
ESAFC_0002	-20.187333	-41.189722
PRADP_0016	-24.672347	-49.015533
SCACE_0012	-26.654667	-51.476944
SCAPK_0015	-27.064306	-49.395639
TOAGW_0002	-12.942389	-49.820583
SPSCN_0083	-23.628628	-46.568183
SPSPO11889	-23.628583	-46.567917
MGAFN_0006	-21.420944	-45.954833
BAALC_0001	-17.530278	-39.193611
PAABT_0002	-1.7265	-48.874583
PAAGAN0001	-6.815278	-50.491417
PAAGAN0002	-6.704361	-50.795056
PAAGAN0004	-6.748944	-50.666389
GOAEN_0001	-16.469878	-49.758792
PEAFO_0001	-8.527472	-40.961389
MAAIS_0001	-2.839444	-42.034278
PRADU_0005	-25.984832	-49.337543
MAAAR_0003	-3.461561	-44.775925
PAABT_0006	-1.72075	-48.867083
SPCOA_0065	-23.605167	-46.917111
PAABT_0008	-1.782417	-48.787972
MAACD_0048	-4.905083	-47.405611
ACCPXB0005	-10.5737	-67.67486
ACRBO_0108	-9.97357	-67.8082
ACRBO_0118	-9.97125	-67.79836
ACRGAS0028	-7.73438	-72.64972
ACTAU_0031	-8.15928	-70.76623
ACXPI_0031	-10.6532	-68.5029
ACRBO_0109	-9.93805	-67.8261
SPAGL_0016	-22.46855	-46.62241
MGBHE_0539	-19.911611	-43.945194
MGARI_0022	-18.649167	-48.19975
SPHORT0034	-22.901472	-47.197722
GOAGR_0002	-15.877344	-51.926997
PAAGU_0002	-1.216889	-46.593611
BAABR_0006	-13.245583	-41.669611
MAAAR_0005	-3.455911	-44.773489
ACRBO_0007	-9.958611	-67.837972
ACRBO_0110	-9.941444	-67.874111
SCALY_0007	-27.402056	-49.81825
TOAGNP0002	-6.560333	-47.475361
TOAGC_0002	-8.814167	-49.558611
BAPYT_0002	-13.240333	-41.743056
MGAET_0002	-19.230639	-45.411917
MGAGF_0002	-17.101972	-40.974222
BAABR_0003	-13.240333	-41.743056
PBAHD_0005	-7.351708	-34.940672
GOSADD0011	-15.947889	-48.2698
RJRJO_4297	-22.896639	-43.180611
PRLDA_0239	-23.326667	-51.128333
PAAIU_0178	-1.347083	-48.435333
PRSWW_0012	-23.445333	-51.880306
PIABA_0004	-5.892611	-42.634417
RJRJO10080	-22.9475	-43.2175
MGARI_0012	-18.654806	-48.185194
SPSPO15229	-23.558861	-46.66565
SPSPO15244	-23.582778	-46.605833
SPSPO15263	-23.570278	-46.638333
SPJAI_1415	-23.198033	-46.898411
SPJAI_1414	-23.190556	-46.895278
SPBRE_2319	-23.485336	-46.854608
PAAIU_0549	-1.375922	-48.390997
SPOCO_0279	-23.549444	-46.771944
ESAUE_0104	-18.500278	-40.957167
ESAUE_0105	-18.421139	-41.050722
ACRBO_0297	-9.976083	-67.8565
ACRBO_0092	-9.961806	-67.82075
ACRBO_0240	-9.980556	-67.842417
ACRBO_0098	-9.9795	-67.80625
SCAIC_0206	-27.455444	-48.826611
GOADB_0003	-16.264333	-49.985028
GOACG_0487	-16.820028	-49.29125
MGAGF_0012	-17.101972	-40.974222
MGAFN_0024	-21.331417	-45.868889
MGADM_0001	-18.877194	-43.434278
ACCZU_0023	-7.625139	-72.669389
ACPCY_0004	-10.326083	-67.180861
ACRBO_0298	-10.029583	-67.800917
ACRBO_0495	-9.866831	-67.913761
ACRBO_0289	-9.959556	-67.852389
ACRBO_0336	-9.952661	-67.858878
ACRBO_0335	-9.961333	-67.824611
ACRBO_0332	-9.968806	-67.814417
PRAAT_0194	-23.307089	-50.31305
PRADU_0166	-25.984861	-49.337528
SPADD_0009	-20.722778	-51.152556
SPARC_0369	-21.200369	-50.551447
SPASI_0015	-22.656028	-50.413278
SPASI_0443	-22.663889	-50.422222
PBAGG_0003	-7.007417	-35.569444
RJIGI_0064	-22.890278	-43.839722
SPSPO15404	-23.60175	-46.630194
RJRJO10241	-22.910278	-43.173333
SPSPO13416	-23.594167	-46.683611
ACRBO_0001	-9.969028	-67.821667
SCJVE_0253	-26.303333	-48.848889
CEFLA_0819	-3.735	-38.566111
PABLM_0617	-1.402778	-48.430556
GOACG_0132	-16.807222	-49.213278
GOACG_0009	-16.792972	-49.349722
GOACG_0023	-16.814194	-49.230861
GOACG_0011	-16.8223	-49.2941
GOACG_0010	-16.761083	-49.278194
ACRBO_0014	-9.976667	-67.868333
RSAHS_0003	-28.176917	-52.031528
RJRJO_9860	-22.921111	-43.233056
RJNIU_0743	-22.753333	-43.454167
RJRJO_9835	-22.753333	-43.454167
RJRJO_9836	-22.906111	-43.175
PAAIU_0597	-1.383056	-48.411111
DFBSA_2407	-15.796111	-47.891944
SPBRE_1608	-23.465833	-46.824722
ACMLU_0001	-8.837583	-69.257556
ACPWTR0001	-8.26325	-72.747722
APMPA_0213	-.034722	-51.051667
SPSPO14325	-23.614167	-46.690833
PAAIU_0605	-1.37425	-48.42061
MGAFN_0007	-21.428583	-45.948972
GOALX_0005	-16.116889	-48.431278
SEAJU_0025	-10.924306	-37.049611
ALMCO_0084	-9.644833	-35.705361
ALMCO_0024	-9.657833	-35.736361
GOALX_0001	-16.086833	-48.50375
ALFXS_0001	-9.241111	-35.779472
SEAJU_0071	-10.913889	-37.054167
SEAJU_0038	-10.914167	-37.054444
PRLDA_0054	-23.285667	-51.209111
ALMCO_0127	-9.635083	-35.738361
RNANO_0004	-5.667083	-36.601111
ALMCO_0320	-9.643917	-35.728083
ALMCO_0331	-9.644722	-35.705
ALAAD_0003	-9.684667	-36.306278
SPCAS_0211	-22.8	-47.016111
ALJQPA0002	-10.016639	-36.015639
ALJQG_0001	-9.144667	-35.76975
ALJQG_0002	-9.058611	-35.737222
ALJQO_0001	-9.908083	-36.476694
ALMCO_0021	-9.649722	-35.757778
ALMCO_0075	-9.6635	-35.758306
ALMCO_0022	-9.564472	-35.760583
ALMCO_0365	-9.584	-35.763806
ALMCO_0050	-9.614139	-35.730861
ALMCO_0064	-9.603056	-35.723083
ALMCO_0067	-9.618139	-35.710333
ALMCO_0261	-9.671861	-35.748
ALMCO_0049	-9.685833	-35.770861
ALMCO_0085	-9.662611	-35.697778
ALMCO_0005	-9.656417	-35.698611
ALMCO_0055	-9.659622	-35.703339
ALMCO_0054	-9.6625	-35.718056
ALMCO_0043	-9.604444	-35.757528
ALMCO_0010	-9.643333	-35.743889
ALMCO_0044	-9.640306	-35.707222
ALMCO_0056	-9.643361	-35.69975
ALMCO_0068	-9.651667	-35.719722
ALMCO_0046	-9.658	-35.746361
ALMCO_0086	-9.649739	-35.701072
ALMCO_0063	-9.655306	-35.713056
ALMCO_0023	-9.652778	-35.705028
ALMCO_0135	-9.648889	-35.704722
ALMCO_0111	-9.588333	-35.757222
ALMCO_0018	-9.602917	-35.684722
ALMCO_0036	-9.62	-35.693889
ALMCO_0019	-9.66	-35.710833
ALMCO_0027	-9.616667	-35.738917
ALMCO_0066	-9.625306	-35.71725
ALMCO_0105	-9.662806	-35.733361
ALMCO_0013	-9.650417	-35.733583
ALMCO_0117	-9.6585	-35.732278
ALMCO_0011	-9.633056	-35.737528
ALMCO_0152	-9.628083	-35.735111
ALMCO_0329	-9.63389	-35.73778
ALMCO_0138	-9.634194	-35.698722
ALMCO_0139	-9.575917	-35.783278
ALMCO_0016	-9.565806	-35.7885
ALMCO_0007	-9.622333	-35.752889
ALMCO_0090	-9.662861	-35.737861
ALMCO_0115	-9.615	-35.720278
ALMCO_0113	-9.559389	-35.740639
ALMCO_0004	-9.593056	-35.740833
ALMHD_0004	-9.674167	-35.817222
ALMBO_0002	-9.576667	-36.306139
ALNLO_0001	-8.944194	-35.663194
ALPIN_0005	-9.402944	-36.623167
ALPIN_0003	-9.406194	-36.654861
ALPIB_0001	-10.364722	-36.335583
ALPLR_0004	-9.604611	-35.908083
ALPLC_0002	-10.064167	-36.694722
ALRGO_0004	-9.520278	-35.806667
ALRGO_0003	-9.485278	-35.900278
ALRGO_0002	-9.48225	-35.842778
ESALR_0001	-20.758422	-41.528919
ESALR_0002	-20.752361	-41.459167
ESALR_0003	-20.768028	-41.587833
CEFLA_0034	-3.737328	-38.503314
GOALX_0002	-16.118806	-48.398139
GOALX_0003	-16.130861	-48.574611
MGAMN_0001	-16.201694	-40.674333
MGAJS_0001	-19.945778	-45.165444
ALSZT_0001	-9.604444	-35.821389
ALSNN_0003	-9.370639	-37.241556
ALSMM_0007	-9.785028	-36.103889
ALSTU_0002	-9.570917	-35.827958
ALUPS_0002	-9.155306	-36.0325
BAALH_0001	-12.134722	-38.418611
BAALH_0003	-12.149194	-38.420611
